title,company,location,summary,salary
Part-Time Analyst (Contractor),Access Partnership,Sydney NSW,"Draft actionable reports both in native language and business English.
Contribute to business development through research on new clients and industry trends.",121207.5
Data Analyst Visualisation,Sustainability Victoria,Melbourne City Centre VIC,"Proven ability to identify data gaps and fill those using research, surveys, consultation or intelligence.
The Data Analyst - Visualisation will work as part of…",121207.5
Head of Strategy and Market Intelligence,Microsoft,Sydney NSW,"Insights and Analysis: Defines, measures, and optimizes business impact by understanding and applying data-driven intelligence to create change.",121207.5
BI & Data Lead,Freedom Furniture,Australia,Develop distributed BI competencies and capabilities across the business including principles of business driven / self-service BI.,121207.5
Data Scientist,Winc,Mascot NSW,"Winc is a leading business supplies company in Australia.
Liaise with the Business Intelligence Team and business users to provide solution advice.",121207.5
Activation Manager-Programmatic,Resolution Media,Brisbane QLD,"At Resolution, our Remarkable legacy symbolises enthusiasm, creativity, success, intelligence and determination.
Then something catches your eye, a purple cow!",121207.5
Machine Learning Engineer,Accenture,Sydney NSW,Articulate business impact and benefits of advanced analytics solutions via business/scientific storytelling and advanced visualisation techniques.,121207.5
Technical Business Analyst,KPMG,Canberra ACT,"Experience working within complex business environments across a range of industries and sectors.
You will utilize your design, analytical and problem solving…",121207.5
Business Solutions Consultant,Hyper Anna,Sydney NSW,"3+ years at a consulting firm, with client-facing experience delivering data or business intelligence projects preferred.
A day in your life will include:",121207.5
Business Intelligence,Tyroola,Sunshine Coast QLD,"Currently we are looking for a skilled intern for our business intelligence / pricing department (f/m).
Retrieve, analyse and present critical data and help…",121207.5
Business Intelligence Analyst,Runge,Brisbane QLD,"Translate business requirements into reporting and analysis specifications.
You will be responsible for operational reporting, performance reporting, marketing…",121207.5
MARKET RESEARCH ANALYST,Torrens University Australia,Australia,"Provide market intelligence in a rewarding setting.
Collaborate with staff and analysts in business processes, quality assurance, marketing and product…",121207.5
Business Intelligence Analyst,CPA Australia,Melbourne VIC,"Understand business context to produce clean and digestible data visualisation;
12 month maternity leave cover - Provide business stakeholders relevant data…",121207.5
Business Technology Consultant,Third Horizon Consulting Pty Ltd,Sydney NSW,"Business intelligence and knowledge management.
Highly developed analytical skills with a passion for solving complex business problems.",121207.5
Qliksense Developer,FinXL,Sydney NSW,"Expertise in data modelling, ETL design, data processing, business intelligence and analytics technologies.
Your experience in enhancing existing and building…",121207.5
Business Intelligence / Reports Developer,Charter Bridge Consulting,Adelaide SA,"A strong preference will be given to candidates who have specific experience in Informatica and Oracle Business Intelligence Applications (OBIEE, OBIA), as well…",121207.5
"Business Analyst (Perth, Darwin, Hobart and Melbourne)",Tata Consultancy Services (TCS),Melbourne VIC,"Knowledge of business intelligence/analytics software for reporting and analysis leveraging SAS, Tableau, SPSS, SQL or R.
TCS is an equal opportunity employer.", 120000
Senior Developer (SSAS/SSIS/POWER BI),Australian Prudential Regulation Authority (APRA),Sydney NSW,"Addressing issues raised by report developers or business end-users.
Review business requirements and provide feedback and guidance on data requirements for…",121207.5
SENIOR BUSINESS INTELLIGENCE DEVELOPER,Government of South Australia,Adelaide SA,"A relevant qualification in, or minimum 2 year’ experience using the following technologies in a business setting is essential.
Learn more about the LSA.",121207.5
Senior Business Consultant,BAE Systems Applied Intelligence,Sydney NSW,"Prepare and deliver training sessions to the client's business users.
Experience of delivering complex business or technology solutions, from gathering…",121207.5
NLP/ML Architect,Isentia,Sydney NSW,"Regularly report research outcomes to business and IT stakeholders.
Isentia is the Asia-Pacific region's leading media intelligence company; we're a client…",121207.5
