title,company,location,summary,salary
Analyst - Marketing Analytics,Westpac Group,Sydney Central Business District NSW,"Also performing 'QA' for team analysts.
This role will enable Westpac to become data-driven, by infusing information and analytics across the business and will…",106236.58
Digital Data Analyst,Kimberly-Clark,Milsons Point NSW,"Strong technical skills across data, database marketing, CRM, data extraction, analytics and/or data visualisation;
Global VISA and Relocation Specifications:",106236.58
"Senior Analyst, Data Governance",Macquarie Group Limited,Sydney NSW,"Identifying potential data risks and issues and assessing them against their mitigating controls.
Understanding and documenting end-to-end data flows and system…",106236.58
Business Process Mapping/Data Governance Officer,CareCone Australia,Sydney NSW,"Lead a team of 4-5 analyst on delivery.
Urgent requirement for Business Process Mapping/Data Governance Officer.
Strong analytical and time management skills.",110000.0
Data Operations Analyst,Westpac Group,Sydney Central Business District NSW,"Strong business analysis and data skills.
Perform data quality monitoring activities for the customer domain.
What’s in it for me?",106236.58
Data & Insight Analyst,New World Management,Sydney NSW,"Ability to understand, manage and manipulate complex data.
Experience with data manipulation tools (e.g. AWS Athena, Microsoft SQL) and visualisation tools (e.g…",106236.58
Senior Data Analyst,SBS,Sydney NSW,"Strong proficiency in data warehousing and data modelling concepts.
Contributed to a shared understanding of data analytics methodologies and liaise with…",106236.58
Specialist Data Analyst,BHP,Queensland,"Expert knowledge and experience with various data platforms, programming languages (such as R or Python) and technology used in data analysis, analytics and…",106236.58
Senior Data Analyst,Commonwealth Bank,Sydney Central Business District NSW,"End-to end ownership and delivery of data-driven remediation projects:
Have 4-6 years’ experience working in roles involving data analysis, Management…",106236.58
"Expressions of Interest- Strategy, Growth & Digital",KPMG,Sydney NSW,"Our mission is to assist organisations turn their data into strategic assets, developing data strategies and data management practices that enable responsible…",106236.58
Data Analyst Visualisation,Sustainability Victoria,Melbourne City Centre VIC,The Data Analyst - Visualisation will work as part of the Recycling industry Support team to develop solutions derived from multiple data sources using a range…,106236.58
"Analyst, Complaints Risks & Incidents",AMP Limited,St Leonards NSW,"Support the team to manage the review of complaints data to identify, record and refer Incidents and Potential Systemic Issues as they relate to complaints…",106236.58
Service Integrity analyst,Nielsen,Macquarie Park NSW,"Providing support to the data delivery team to ensure daily data delivery according to contractual KPI’s and commitments.
A Little Bit About you.",106236.58
Analyst - Marketing Analytics,Westpac Group,Sydney Central Business District NSW,"Also performing 'QA' for team analysts.
This role will enable Westpac to become data-driven, by infusing information and analytics across the business and will…",106236.58
Digital Data Analyst,Kimberly-Clark,Milsons Point NSW,"Strong technical skills across data, database marketing, CRM, data extraction, analytics and/or data visualisation;
Global VISA and Relocation Specifications:",106236.58
"Senior Analyst, Data Governance",Macquarie Group Limited,Sydney NSW,"Identifying potential data risks and issues and assessing them against their mitigating controls.
Understanding and documenting end-to-end data flows and system…",106236.58
SENIOR BUSINESS INTELLIGENCE/DATA ANALYST,City of Sydney,Sydney Central Business District NSW,"Assisting business areas discover insights through data analysis, reporting, and visualisation.
Experience working on data integration projects developing,…",106236.58
GIS Analyst,CGC Recruitment,Australia,"Demonstrated GIS skills and experience in management of spatial data.
Must have prior experience using ArcGIS and ability to manage spatial data.",106236.58
Lean Analyst,Westpac Group,Sydney NSW,"Business process improvement/re-engineering, data analysis, system functional / non-functional analysis experience and business case preparation experience.",106236.58
Junior Insights Analyst,Oneflare,Sydney NSW,"Contribute to the product roadmap through data-based recommendations.
Data evangelist within squads for best data and analytics practices.",106236.58
Suncorps 2021 Technology Graduate Program,Suncorp Group,Australia,Banking & Wealth Technology: Software Engineers (Brisbane); Systems engineer (Brisbane); Developer (Brisbane); Business analyst (Brisbane).,106236.58
Data Analyst,Servian,Sydney NSW,"Sound understanding of data structures, data modeling and data optimisation techniques.
Implement solutions for the establishment of data analysis capabilities…",106236.58
"Business Analyst (Sydney, Canberra, Adelaide, Brisbane)",Tata Consultancy Services (TCS),Sydney NSW,Ability to query complex data warehouses and aggregate data for strategic reporting; experience with Teradata/SQL is highly desirable., 120000
Expressions of Interest- Forensic Advisory,KPMG,Sydney NSW,"Manipulating data into meaningful formats, reports and statistics;
Analysis of financial crime compliance policies, procedures and data.",106236.58
APS 5 Business Intelligence Analyst,Australian Taxation Office,Australia,"We are seeking data driven and creative thinkers to join our Strategy and Governance branch.
As a Business Intelligence Analyst, in Law Design and Practice, you…",106236.58
"Systems Analyst (Sydney, Melbourne, Brisbane, Canberra)",Tata Consultancy Services (TCS),Sydney NSW,"Designs and validates data models that provide logical data interpretation.
Networks with various stakeholders (internal and external) conducts interview s and…", 110000
Senior Analyst,Deloitte,Sydney NSW,"Seek to critically analyse business processes and supporting data.
Unique engagements with ever-changing situations and data sets.
18 weeks paid parental leave.",106236.58
Data Quality Analyst,Macquarie Group Limited,Sydney NSW,"Support the group data teams to implement effective data quality issue management.
Support the group data teams to implement data quality measurement and…",106236.58
Data Analyst,Leidos,Canberra ACT,"Acquiring data from primary or secondary data sources and maintaining data structures.
Identifying new data sources, collecting data, sourcing missing data.",106236.58
"Network Analyst (Sydney, Adelaide, Brisbane, Perth)",Tata Consultancy Services (TCS),Sydney NSW,"Specifications data models and diagrams in the development configuration and integration of computer systems.
The company generated consolidated revenues of US …", 110000
AMP - Technology Graduate Program 2021,AMP Limited,Sydney NSW,"Realise your ambitions with the AMP 2021 Graduate Technology program.
Voted #1 Financial Services graduate program, AAGE Top Graduate Employers 2020.",106236.58
"Analyst ~ Investments, Infrastructure (data & digital)",Brookfield Asset Management,Sydney NSW,"Translating data, research and diligence findings into model inputs.
Strong interest in the digital and data infrastructure sector, and prior exposure is highly…",106236.58
GIS Analyst,CGC Recruitment,Australia,"Demonstrated GIS skills and experience in management of spatial data.
Must have prior experience using ArcGIS and ability to manage spatial data.",106236.58
SENIOR BUSINESS INTELLIGENCE/DATA ANALYST,City of Sydney,Sydney Central Business District NSW,"Assisting business areas discover insights through data analysis, reporting, and visualisation.
Experience working on data integration projects developing,…",106236.58
Analyst,Macquarie Group Limited,Sydney NSW,"This is a unique opportunity for an enthusiastic and innovative analyst, looking to gain experience and build a career in data analysis and project co…",106236.58
Lean Analyst,Westpac Group,Sydney NSW,"Business process improvement/re-engineering, data analysis, system functional / non-functional analysis experience and business case preparation experience.",106236.58
Junior Insights Analyst,Oneflare,Sydney NSW,"Contribute to the product roadmap through data-based recommendations.
Data evangelist within squads for best data and analytics practices.",106236.58
Suncorps 2021 Technology Graduate Program,Suncorp Group,Australia,Banking & Wealth Technology: Software Engineers (Brisbane); Systems engineer (Brisbane); Developer (Brisbane); Business analyst (Brisbane).,106236.58
Data Analyst,Servian,Sydney NSW,"Sound understanding of data structures, data modeling and data optimisation techniques.
Implement solutions for the establishment of data analysis capabilities…",106236.58
"Business Analyst (Sydney, Canberra, Adelaide, Brisbane)",Tata Consultancy Services (TCS),Sydney NSW,Ability to query complex data warehouses and aggregate data for strategic reporting; experience with Teradata/SQL is highly desirable., 120000
